esp32mag:::SENSE,001,m,42520,2020-12-17T09:49:28.12317000+02:00,411.00,264.00,-302.00:::00:00:01.804176
esp32acc:::SENSE,001,a,42521,2020-12-17T09:49:28.23663000+02:00,116.00,-48.00,-4144.00:::00:00:01.815146
esp32acc:::SENSE,001,a,42523,2020-12-17T09:49:28.43860000+02:00,116.00,-52.00,-4144.00:::00:00:01.827127
esp32mag:::SENSE,001,m,42522,2020-12-17T09:49:28.42661000+02:00,411.00,264.00,-302.00:::00:00:01.833099
esp32acc:::SENSE,001,a,42524,2020-12-17T09:49:28.63677000+02:00,124.00,-60.00,-4132.00:::00:00:01.833099
esp32mag:::SENSE,001,m,42525,2020-12-17T09:49:28.72429000+02:00,423.00,270.00,-315.00:::00:00:01.833099
esp32acc:::SENSE,001,a,42526,2020-12-17T09:49:28.83567000+02:00,116.00,-52.00,-4148.00:::00:00:01.839083
esp32acc:::SENSE,001,a,42528,2020-12-17T09:49:28.104356000+02:00,116.00,-52.00,-4132.00:::00:00:01.839083
esp32mag:::SENSE,001,m,42527,2020-12-17T09:49:28.102709000+02:00,411.00,252.00,-309.00:::00:00:01.845066
esp32acc:::SENSE,001,a,42529,2020-12-17T09:49:28.123695000+02:00,116.00,-52.00,-4148.00:::00:00:01.845066
esp32mag:::SENSE,001,m,42530,2020-12-17T09:49:28.132367000+02:00,411.00,252.00,-309.00:::00:00:01.845066
esp32acc:::SENSE,001,a,42531,2020-12-17T09:49:28.143674000+02:00,124.00,-60.00,-4136.00:::00:00:01.845066
esp32acc:::SENSE,001,a,42533,2020-12-17T09:49:28.163831000+02:00,120.00,-52.00,-4140.00:::00:00:01.846065
esp32mag:::SENSE,001,m,42532,2020-12-17T09:49:28.162658000+02:00,411.00,264.00,-309.00:::00:00:01.846065
esp32acc:::SENSE,001,a,42534,2020-12-17T09:49:28.184046000+02:00,120.00,-40.00,-4140.00:::00:00:01.846065
esp32mag:::SENSE,001,m,42535,2020-12-17T09:49:28.192310000+02:00,411.00,264.00,-309.00:::00:00:01.846065
esp32acc:::SENSE,001,a,42536,2020-12-17T09:49:28.203865000+02:00,116.00,-56.00,-4144.00:::00:00:01.846065
esp32acc:::SENSE,001,a,42538,2020-12-17T09:49:28.223758000+02:00,120.00,-52.00,-4140.00:::00:00:01.864023
esp32mag:::SENSE,001,m,42537,2020-12-17T09:49:28.222646000+02:00,417.00,258.00,-302.00:::00:00:01.869999
esp32acc:::SENSE,001,a,42539,2020-12-17T09:49:28.243644000+02:00,112.00,-52.00,-4148.00:::00:00:01.875983
esp32mag:::SENSE,001,m,42540,2020-12-17T09:49:28.252342000+02:00,411.00,270.00,-283.00:::00:00:01.881934
esp32acc:::SENSE,001,a,42541,2020-12-17T09:49:28.264373000+02:00,108.00,-60.00,-4132.00:::00:00:01.881934
esp32acc:::SENSE,001,a,42543,2020-12-17T09:49:28.284098000+02:00,112.00,-48.00,-4148.00:::00:00:01.881934
esp32mag:::SENSE,001,m,42542,2020-12-17T09:49:28.282768000+02:00,411.00,270.00,-283.00:::00:00:01.886965
esp32acc:::SENSE,001,a,42544,2020-12-17T09:49:28.303685000+02:00,124.00,-48.00,-4136.00:::00:00:01.892903
esp32mag:::SENSE,001,m,42545,2020-12-17T09:49:28.312302000+02:00,411.00,270.00,-309.00:::00:00:01.904909
esp32acc:::SENSE,001,a,42546,2020-12-17T09:49:28.323753000+02:00,120.00,-60.00,-4156.00:::00:00:01.910891
esp32acc:::SENSE,001,a,42548,2020-12-17T09:49:28.344149000+02:00,124.00,-52.00,-4140.00:::00:00:01.928810
